oid,fountain_type,fountain_code,dog_friendly,amt,coordinates,open_map_address
280,ברזית גליל,B10,False,,"{'x': 34.81074410724149, 'y': 32.05234406521687}","49, מעפילי אגוז, תל אביב - יפו, נוה חן, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6767589, ישראל"
281,ברזיה מרובעת,B11,False,,"{'x': 34.81074410724149, 'y': 32.05234406521687}","49, מעפילי אגוז, תל אביב - יפו, נוה חן, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6767589, ישראל"
282,ברזית גליל,B10,False,,"{'x': 34.7899454530432, 'y': 32.044551731460835}","52, תשרי, תל אביב - יפו, עזרא והארגזים, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6775393, ישראל"
283,ברזית גליל,B10,False,,"{'x': 34.82219351753194, 'y': 32.11029903322709}","54, קהילת ורשה, הדר-יוסף, תל אביב - יפו, מעוז אביב ב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 5259408, ישראל"
284,ברזית גליל,B10,False,,"{'x': 34.790609458719906, 'y': 32.089530441565124}","56, ויצמן, הצפון החדש - סביבת ככר המדינה, תל אביב - יפו, הצפון החדש, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6296802, ישראל"
285,ברזית גליל,B10,False,,"{'x': 34.80764676739394, 'y': 32.048875456750146}","56, מח""ל, נוה אליעזר וכפר שלם מזרח, תל אביב - יפו, כפר שלם, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6767589, ישראל"
286,ברזית גליל,B10,False,,"{'x': 34.77229399691596, 'y': 32.056361147004644}","57, החלוצים, פלורנטין, תל אביב - יפו, שבזי, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6652434, ישראל"
287,ברזית גליל,B10,False,,"{'x': 34.834470396290804, 'y': 32.10842018595952}","60, הגולן, רמת החייל, תל אביב - יפו, ישגב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6971001, ישראל"
288,ברזיית עלה,B14,False,,"{'x': 34.754752784837, 'y': 32.030261343454825}","17, הגיבורים, בת ים, נפת תל אביב, מחוז תל אביב, 6807644, ישראל"
289,ברזיית עלה,B14,False,,"{'x': 34.802061056264456, 'y': 32.044630986584906}","62, בושם, תל אביב - יפו, לבנה, ידידיה, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6767589, ישראל"
290,ברזית גליל,B10,False,,"{'x': 34.797656973548435, 'y': 32.0593178321527}","63, לה גווארדיה, יד אליהו, תל אביב - יפו, יד אליהו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6767589, ישראל"
291,ברזית גליל,B10,True,,"{'x': 34.779267634501394, 'y': 32.09240044493071}","63, שדרות נורדאו, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6296802, ישראל"
292,ברזית גליל,B10,False,,"{'x': 34.79822198636044, 'y': 32.111673902818346}","64, ברודצקי, רמת-אביב, תל אביב - יפו, אוניברסיטת תל אביב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6946032, ישראל"
293,קולר,B16,False,,"{'x': 34.79822198636044, 'y': 32.111673902818346}","64, ברודצקי, רמת-אביב, תל אביב - יפו, אוניברסיטת תל אביב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6946032, ישראל"
294,ברזית גליל,B10,False,,"{'x': 34.81078968053249, 'y': 32.052959950751884}","66, מעפילי אגוז, תל אביב - יפו, נוה חן, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6767589, ישראל"
